G_S,order,Family,Genus,species,CI,Loght,ANG_GYM,native,Functional_group,LogGeoRangeST,LogGeoRangeCO,LogPSR
Erythronium_albidum,LILIALES                        ,Lilliaceae                      ,Erythronium     ,albidum                                         ,0.954242509,-0.515985038,angio   ,1,HERB    ,6.590133551,5.988334244,0.954242509
Erythronium_grandiflorum,LILIALES                        ,Lilliaceae                      ,Erythronium     ,grandiflorum                                    ,1.973127854,-0.515985038,angio   ,1,HERB    ,6.386524113,5.954462914,1
Eubotrys_racemosa,Ericales                        ,Ericaceae                       ,Eubotrys        ,racemosa                                        ,0.477121255,0.597958314,angio   ,1,shrub   ,6.311127963,5.727911714,0.84509804
Euonymus_americanus,Celastrales                     ,Celastraceae                    ,Euonymus        ,americanus                                      ,0.301029996,0.387104949,angio   ,1,shrub   ,6.477088638,6.044074954,1.079181246
Euonymus_atropurpureus,Celastrales                     ,Celastraceae                    ,Euonymus        ,atropurpureus                                   ,0,0.785044958,angio   ,1,shrub   ,6.691856171,6.091045636,1.230448921
Euonymus_occidentalis,Celastrales                     ,Celastraceae                    ,Euonymus        ,occidentalis                                    ,0.477121255,0.785044958,angio   ,1,shrub   ,5.601289413,5.187425984,0.477121255
Eupatorium_perfoliatum,Asterales                       ,Asteraceae                      ,Eupatorium      ,perfoliatum                                     ,1.361727836,-0.038863783,angio   ,1,HERB    ,6.659830986,6.392537049,1.079181246
Eupatorium_purpureum,Asterales                       ,Asteraceae                      ,Eupatorium      ,purpureum,1,0.262166212,angio   ,1,HERB    ,6.694196278,6.117423954,1.322219295
Euphorbia_chamaesula,Euphorbiales                    ,Euphorbiaceae                   ,Euphorbia       ,chamaesula                                      ,0,-0.038863783,angio   ,1,HERB    ,5.779309705,5.31883942,0.301029996
Euphorbia_corollata,Euphorbiales                    ,Euphorbiaceae                   ,Euphorbia       ,corollata                                       ,0.77815125,-0.038863783,angio   ,1,HERB    ,6.62882264,6.329975868,1
Fagus_grandifolia,Fagales                         ,Fagaceae                        ,Fagus           ,grandifolia                                     ,2.661812686,1.387104949,angio   ,1,A-TREE  ,6.705742007,6.266773924,2.276461804
Forestiera_pubescens,Laminales                       ,Oleaceae                        ,Forestiera      ,pubescens                                       ,0,0.484014962,angio   ,1,shrub   ,6.415676636,5.903812128,0.477121255
Forestiera_segregata,Laminales                       ,Oleaceae                        ,Forestiera      ,segregata                                       ,0.301029996,0.785044958,angio   ,1,shrub   ,5.140609534,4.883136127,0.301029996
Fraxinus_americana,Laminales                       ,Oleaceae                        ,Fraxinus        ,americana                                       ,2.442479769,1.387104949,angio   ,1,A-TREE  ,6.649697781,6.327291267,1.748188027
Fraxinus_latifolia,Laminales                       ,Oleaceae                        ,Fraxinus        ,latifolia                                       ,1.380211242,1.387104949,angio   ,1,A-TREE  ,5.911428492,5.582582575,1.380211242
Fraxinus_nigra,Laminales                       ,Oleaceae                        ,Fraxinus        ,nigra                                           ,2.041392685,1.182984966,angio   ,1,A-TREE  ,6.244382972,6.027599732,1.579783597
Fraxinus_pennsylvanica,Laminales                       ,Oleaceae                        ,Fraxinus        ,pennsylvanica                                   ,2.387389826,1.262166212,angio   ,1,A-TREE  ,6.753293003,6.536666315,1.903089987
Fraxinus_quadrangulata,Laminales                       ,Oleaceae                        ,Fraxinus        ,quadrangulata                                   ,0.602059991,1.329113002,angio   ,1,A-TREE  ,6.386295343,5.692924796,0.954242509
Gaultheria_procumbens,Ericales                        ,Ericaceae                       ,Gaultheria      ,procumbens                                      ,1.342422681,-0.515985038,angio   ,1,shrub   ,6.326949012,6.095582981,1.146128036
Gaylussacia_baccata,Ericales                        ,Ericaceae                       ,Gaylussacia     ,baccata                                         ,1.255272505,0.086074953,angio   ,1,shrub   ,6.621025842,6.073677952,1.146128036
Gaylussacia_brachycera,Ericales                        ,Ericaceae                       ,Gaylussacia     ,brachycera                                       ,0.698970004,-0.214955042,angio   ,1,shrub   ,5.685750603,4.741211634,0.77815125
